"PlantID";"Genotype";"Treatment";"DAS";"Realtime";"side.geometry.vis.height.norm (mm)";"combined.geometry.vis.volume.iap.norm (voxel)"
"1116BA1195";"ZEA 3528";"normal";20;20.7074903240741;796.615138592751;9005559.01604334
"1116BA1174";"Athletico";"wet";20;20.7083372106481;793.376865671642;13278210.9455295
"1116BA1133";"ZEA 3528";"dry";20;20.7091824884259;993.789978678038;14151662.1983712
"1116BA1044";"ZEA 3426";"wet";20;20.7108706712963;863.179637526652;13356280.3447815
"1116BA1229";"ZEA 3554";"dry";20;20.7117132291667;531.796375266524;3900208.64173765
"1116BA1216";"ZEA 712";"normal";20;20.7125552430556;1266.52452025586;15445524.7339354
"1116BA1116";"Fernandez";"normal";20;20.7134026851852;727.891791044776;15345581.057337
"1116BA1091";"Fernandez";"dry";20;20.714245775463;765.311833688699;13820271.6747025
"1116BA1074";"ZEA 3606";"wet";20;20.7150905092593;619.035735607676;14456625.5165309
"1116BA1122";"ZEA 3528";"normal";20;20.7159363194444;1230.90351812367;9102770.7026114
"1116BA1062";"ZEA 3425";"normal";20;20.7167765277778;947.014925373134;12780466.5324811
"1116BA1114";"ZEA 3338";"normal";20;20.71762125;668.163646055437;6837177.03659551
"1116BA1041";"ZEA 3548";"dry";20;20.718461099537;1031.56982942431;5301750.86088169
"1116BA1252";"ZEA 3361";"dry";20;20.7193025694444;1188.80597014925;6366176.23424126
"1116BA1259";"ZEA 3240";"normal";20;20.7201469328704;534.315031982942;11678925.3343639
"1116BA1213";"ZEA 3651";"wet";20;20.7209900347222;676.226993603412;12292202.9348315
"1116BA1251";"Athletico";"dry";20;20.7218322222222;705.404647267506;16327918.8446221
"1116BA1226";"ZEA 3361";"dry";20;20.7226740625;948.24;7780884.12041543
"1116BA1192";"ZEA 333";"normal";20;20.723515162037;732.670510375287;5102918.77708242
"1116BA1118";"ZEA 3327";"normal";20;20.7243559143519;560.012430703625;5978109.26543724
"1116BA1254";"ZEA 3240";"dry";20;20.7252022685185;566.487249466951;6076959.1419708
"1116BA1138";"ZEA 3426";"normal";20;20.7260410300926;785.820895522388;13463407.5009547
"1116BA1140";"ZEA 3361";"normal";20;20.7268844907407;761.854797441365;4123112.81052445
"1116BA1115";"Athletico";"normal";20;20.7277283101852;661.508058781365;11487447.6407284
"1116BA1197";"ZEA 1008";"normal";20;20.7285686921296;1258.63327873154;9313430.68453082
"1116BA1076";"ZEA 384";"wet";20;20.7294130671296;602.717101758125;8774813.37065567
"1116BA1231";"Athletico";"normal";20;20.7302576041667;721.055437100213;13556898.0364506
"1116BA1102";"ZEA 3425";"normal";20;20.7310972685185;605.721684434968;11445409.3773971
"1116BA1028";"Athletico";"dry";20;20.7319420023148;977.610307356588;10762814.7630939
"1116BA1037";"ZEA 1129";"dry";20;20.7403842013889;1016.81769722814;15498365.1667684
"1116BA1137";"ZEA 1181";"normal";20;20.7409676041667;1284.51492537313;16817558.4814749
"1116BA1309";"ZEA 16";"wet";20;20.7415888078704;811.367270788912;6015909.73390549
"1116BA1275";"Fernandez";"normal";20;20.7424313657407;1124.40031982942;17657308.985933
"1116BA1262";"ZEA 668";"wet";20;20.7432737384259;894.482942430704;10730070.7016358
"1116BA1285";"Athletico";"wet";20;20.744959212963;787.26012793177;11861133.1684217
"1116BA1304";"ZEA 3425";"dry";20;20.7458043055556;729.331023454158;9165210.58899973
